HourEnding,Load_MW,temperature_2m_Austin,apparent_temperature_Austin,relative_humidity_2m_Austin,dew_point_2m_Austin,wind_speed_10m_Austin,shortwave_radiation_Austin,temperature_2m_Dallas,apparent_temperature_Dallas,relative_humidity_2m_Dallas,dew_point_2m_Dallas,wind_speed_10m_Dallas,shortwave_radiation_Dallas,temperature_2m_Houston,apparent_temperature_Houston,relative_humidity_2m_Houston,dew_point_2m_Houston,wind_speed_10m_Houston,shortwave_radiation_Houston,temperature_2m_SanAntonio,apparent_temperature_SanAntonio,relative_humidity_2m_SanAntonio,dew_point_2m_SanAntonio,wind_speed_10m_SanAntonio,shortwave_radiation_SanAntonio,temperature_2m_avg,apparent_temperature_avg,relative_humidity_2m_avg,dew_point_2m_avg,wind_speed_10m_avg,shortwave_radiation_avg,hour,day_of_week,month,year,day_of_year,is_weekend,season,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,is_holiday,is_workday,CDH,HDH,temp_sq,apparent_temp_delta_avg,temp_x_hour_sin,temp_x_is_weekend,CDH_x_hour_sin,is_peak,load_lag_24h,load_lag_168h,days_elapsed
2026-01-01 00:00:00,46229.83,50.5,41.2,25,15.9,8.5,0.0,48.7,42.9,55,33.3,5.4,0.0,48.1,41.6,48,29.3,5.2,0.0,49.2,41.7,26,15.8,4.3,0.0,49.125,41.85,38.5,23.575,5.8500000000000005,0.0,0,3,1,2026,1,0,0,0.0,1.0,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,15.875,2413.265625,-7.275000000000006,0.0,0.0,0.0,0,52396.392387,44844.967224,1826.0
2026-01-01 01:00:00,46216.97,49.0,41.2,29,18.1,5.4,0.0,48.0,42.6,55,32.6,4.0,0.0,47.8,41.0,44,26.9,5.3,0.0,47.7,40.5,25,13.6,3.0,0.0,48.125,41.325,38.25,22.8,4.425,0.0,1,3,1,2026,1,0,0,0.2588190451025207,0.9659258262890684,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,16.875,2316.015625,-6.799999999999997,12.455666545558811,0.0,0.0,0,51846.815465,43444.284508,1826.0416666666667
2026-01-01 02:00:00,46148.07,48.1,39.1,29,17.3,8.2,0.0,46.4,40.6,56,31.6,4.6,0.0,46.2,39.7,47,27.0,4.7,0.0,45.2,38.9,26,12.3,0.7,0.0,46.475,39.575,39.5,22.05,4.55,0.0,2,3,1,2026,1,0,0,0.4999999999999999,0.8660254037844387,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,18.52500000000001,2159.9256249999994,-6.899999999999992,23.237499999999997,0.0,0.0,0,51622.160901,42374.765072,1826.0833333333333
2026-01-01 03:00:00,46250.84,48.6,40.5,35,22.2,7.0,0.0,44.9,39.0,66,34.2,5.6,0.0,46.6,39.8,49,28.5,5.9,0.0,43.2,35.9,38,19.3,4.5,0.0,45.825,38.8,47.0,26.05,5.75,0.0,3,3,1,2026,1,0,0,0.7071067811865475,0.7071067811865476,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,19.175,2099.9306250000004,-7.025000000000006,32.40316824787354,0.0,0.0,0,51973.859574,41633.019656,1826.125
2026-01-01 04:00:00,46690.5,46.7,39.6,41,24.2,5.2,0.0,46.1,39.7,59,32.6,6.4,0.0,45.4,39.6,52,28.8,3.5,0.0,42.1,36.2,47,23.3,2.3,0.0,45.075,38.775000000000006,49.75,27.225,4.3500000000000005,0.0,4,3,1,2026,1,0,0,0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,19.925,2031.755625,-6.299999999999997,39.03609507558357,0.0,0.0,0,52913.644002,41299.594342,1826.1666666666667
2026-01-01 05:00:00,47369.17,44.3,37.7,44,23.7,3.8,0.0,44.4,38.8,68,34.5,5.3,0.0,43.8,38.1,62,31.7,4.3,0.0,41.0,35.7,53,25.2,1.3,0.0,43.375,37.575,56.75,28.775,3.675,0.0,5,3,1,2026,1,0,0,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,21.625,1881.390625,-5.799999999999997,41.89703271528834,0.0,0.0,0,54830.375702,41363.640946,1826.2083333333333
2026-01-01 06:00:00,48431.97,43.5,37.0,40,20.7,2.9,0.0,43.1,36.9,72,34.7,6.5,0.0,42.0,36.9,68,32.2,3.2,0.0,40.5,34.6,50,23.3,2.2,0.0,42.275,36.35,57.5,27.725,3.7,0.0,6,3,1,2026,1,0,0,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,22.725,1787.175625,-5.924999999999997,42.275,0.0,0.0,0,57207.574003,42012.574708,1826.25
2026-01-01 07:00:00,48992.24,41.9,35.4,39,18.8,2.7,0.0,42.9,36.6,67,32.7,6.1,0.0,41.4,36.5,76,34.4,3.5,0.0,39.4,33.7,61,27.1,2.7,0.0,41.4,35.55,60.75,28.25,3.75,0.0,7,3,1,2026,1,0,0,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,23.6,1713.9599999999998,-5.850000000000001,39.98932920836743,0.0,0.0,0,58890.225409,42781.125806,1826.2916666666667
2026-01-01 08:00:00,48788.65,40.0,32.8,42,18.8,4.2,0.0,43.0,36.6,67,32.8,6.4,0.0,42.3,38.3,71,33.6,1.1,0.0,39.2,32.9,58,25.7,3.8,0.0,41.125,35.15,59.5,27.725,3.875,0.0,8,3,1,2026,1,0,0,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,23.875,1691.265625,-5.975000000000001,35.61529473063504,0.0,0.0,0,58212.089432,44050.738855,1826.3333333333333
2026-01-01 09:00:00,48066.5,40.5,34.6,56,26.0,2.9,27.0,42.9,36.4,66,32.3,6.5,21.0,43.8,40.1,75,36.4,1.6,46.0,41.2,35.8,61,28.8,2.6,25.0,42.1,36.725,64.5,30.875,3.4,29.75,9,3,1,2026,1,0,0,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,22.9,1772.41,-5.375000000000007,29.76919548795365,0.0,0.0,0,55915.492787,45867.164943,1826.375
2026-01-01 10:00:00,47183.15,47.0,42.8,58,33.0,1.1,180.0,48.3,43.1,66,37.5,5.5,161.0,53.6,51.2,72,44.8,2.6,214.0,50.2,45.1,52,33.3,3.5,173.0,49.775000000000006,45.55,62.0,37.15,3.175,182.0,10,3,1,2026,1,0,0,0.4999999999999999,-0.8660254037844387,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,15.224999999999994,2477.5506250000008,-4.225000000000001,24.8875,0.0,0.0,0,53610.53144,47449.335582,1826.4166666666667
2026-01-01 11:00:00,46462.57,56.1,50.6,45,35.0,5.0,367.0,55.1,49.3,53,38.3,7.3,342.0,61.9,58.6,56,46.1,5.4,386.0,59.6,53.1,45,38.2,8.9,361.0,58.175,52.9,49.75,39.400000000000006,6.65,364.0,11,3,1,2026,1,0,0,0.258819045102521,-0.9659258262890682,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,6.825000000000003,3384.330625,-5.274999999999999,15.05679794883916,0.0,0.0,0,51436.072557,48818.719145,1826.4583333333333
2026-01-01 12:00:00,46129.92,64.3,56.3,32,33.8,10.7,519.0,61.1,55.0,41,37.2,7.3,488.0,67.6,64.2,51,48.8,7.3,547.0,64.3,58.4,45,42.5,9.5,514.0,64.325,58.475,42.25,40.575,8.7,517.0,12,3,1,2026,1,0,0,1.2246467991473532e-16,-1.0,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,0.0,0.6749999999999972,4137.7056250000005,-5.850000000000001,7.877540535515349e-15,0.0,0.0,0,49659.228012,50002.673132,1826.5
2026-01-01 13:00:00,45880.08,69.3,59.8,24,30.9,14.4,617.0,65.4,59.2,32,34.8,7.2,569.0,69.8,68.2,55,52.9,7.7,635.0,67.7,62.4,40,42.5,9.6,616.0,68.05,62.4,37.75,40.275,9.725,609.25,13,3,1,2026,1,0,0,-0.2588190451025208,-0.9659258262890684,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,3.049999999999997,0.0,4630.8025,-5.649999999999999,-17.61263601922654,0.0,-0.7893980875626877,0,48680.90838,51021.202028,1826.5416666666667
2026-01-01 14:00:00,45724.56,72.1,63.6,24,33.3,13.5,646.0,68.5,62.7,25,31.2,5.8,610.0,73.6,69.9,40,47.8,9.7,651.0,70.7,65.6,35,41.7,9.6,651.0,71.225,65.45,31.0,38.5,9.65,639.5,14,3,1,2026,1,0,0,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,6.224999999999994,0.0,5073.000624999999,-5.774999999999992,-35.612499999999976,0.0,-3.1124999999999954,0,48116.405615,51882.425278,1826.5833333333333
2026-01-01 15:00:00,45791.54,72.9,64.5,26,36.0,13.6,607.0,70.5,63.8,26,34.0,8.2,570.0,74.3,70.8,42,49.7,9.2,601.0,72.8,67.8,32,41.2,8.4,618.0,72.625,66.72500000000001,31.5,40.225,9.85,599.0,15,3,1,2026,1,0,0,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,7.625,0.0,5274.390625,-5.899999999999992,-51.35362998367299,0.0,-5.391689206547422,0,48078.064897,52468.560493,1826.625
2026-01-01 16:00:00,46173.23,73.3,65.5,29,39.2,12.5,508.0,70.8,63.8,25,33.2,7.9,457.0,74.1,70.5,44,50.8,8.9,492.0,72.4,66.6,31,40.1,8.1,525.0,72.65,66.6,32.25,40.825,9.35,495.5,16,3,1,2026,1,0,0,-0.8660254037844384,-0.5000000000000004,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,7.650000000000006,0.0,5278.022500000001,-6.050000000000011,-62.916745584939456,0.0,-6.625094338950959,0,48424.367318,52238.454198,1826.6666666666667
2026-01-01 17:00:00,47409.51,72.3,64.5,31,39.9,12.6,349.0,68.6,61.7,29,35.1,8.6,213.0,72.6,69.1,47,51.3,9.4,296.0,72.1,66.3,30,38.9,7.5,369.0,71.39999999999999,65.4,34.25,41.3,9.525,306.75,17,3,1,2026,1,0,0,-0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,6.399999999999992,0.0,5097.959999999999,-5.999999999999986,-68.96710399703947,0.0,-6.181925288250029,0,49702.852077,51679.825458,1826.7083333333333
2026-01-01 18:00:00,48567.03,70.3,63.5,32,39.0,9.8,153.0,65.7,59.5,32,35.0,6.7,60.0,70.7,67.2,53,52.7,10.1,113.0,70.2,64.5,32,39.0,7.2,167.0,69.225,63.675,37.25,41.425,8.450000000000001,123.25,18,3,1,2026,1,0,0,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,4.224999999999994,0.0,4792.100624999999,-5.549999999999997,-69.225,0.0,-4.224999999999994,0,50888.149238,51452.629778,1826.75
2026-01-01 19:00:00,48255.7,67.3,61.0,35,38.7,8.6,0.0,63.9,57.8,32,33.4,5.7,0.0,68.6,66.4,59,53.7,7.8,0.0,66.0,60.7,32,35.3,4.7,0.0,66.44999999999999,61.475,39.5,40.275,6.7,0.0,19,3,1,2026,1,0,0,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,1,0,1.4499999999999886,0.0,4415.602499999998,-4.974999999999994,-64.18577115690859,0.0,-1.4005924481191383,0,49868.701664,50359.664063,1826.7916666666667
