HourEnding,temperature_2m_Austin,apparent_temperature_Austin,relative_humidity_2m_Austin,dew_point_2m_Austin,wind_speed_10m_Austin,shortwave_radiation_Austin,temperature_2m_Dallas,apparent_temperature_Dallas,relative_humidity_2m_Dallas,dew_point_2m_Dallas,wind_speed_10m_Dallas,shortwave_radiation_Dallas,temperature_2m_Houston,apparent_temperature_Houston,relative_humidity_2m_Houston,dew_point_2m_Houston,wind_speed_10m_Houston,shortwave_radiation_Houston,temperature_2m_SanAntonio,apparent_temperature_SanAntonio,relative_humidity_2m_SanAntonio,dew_point_2m_SanAntonio,wind_speed_10m_SanAntonio,shortwave_radiation_SanAntonio
2026-01-01 00:00:00,50.5,41.2,25,15.9,8.5,0.0,48.7,42.9,55,33.3,5.4,0.0,48.1,41.6,48,29.3,5.2,0.0,49.2,41.7,26,15.8,4.3,0.0
2026-01-01 01:00:00,49.0,41.2,29,18.1,5.4,0.0,48.0,42.6,55,32.6,4.0,0.0,47.8,41.0,44,26.9,5.3,0.0,47.7,40.5,25,13.6,3.0,0.0
2026-01-01 02:00:00,48.1,39.1,29,17.3,8.2,0.0,46.4,40.6,56,31.6,4.6,0.0,46.2,39.7,47,27.0,4.7,0.0,45.2,38.9,26,12.3,0.7,0.0
2026-01-01 03:00:00,48.6,40.5,35,22.2,7.0,0.0,44.9,39.0,66,34.2,5.6,0.0,46.6,39.8,49,28.5,5.9,0.0,43.2,35.9,38,19.3,4.5,0.0
2026-01-01 04:00:00,46.7,39.6,41,24.2,5.2,0.0,46.1,39.7,59,32.6,6.4,0.0,45.4,39.6,52,28.8,3.5,0.0,42.1,36.2,47,23.3,2.3,0.0
2026-01-01 05:00:00,44.3,37.7,44,23.7,3.8,0.0,44.4,38.8,68,34.5,5.3,0.0,43.8,38.1,62,31.7,4.3,0.0,41.0,35.7,53,25.2,1.3,0.0
2026-01-01 06:00:00,43.5,37.0,40,20.7,2.9,0.0,43.1,36.9,72,34.7,6.5,0.0,42.0,36.9,68,32.2,3.2,0.0,40.5,34.6,50,23.3,2.2,0.0
2026-01-01 07:00:00,41.9,35.4,39,18.8,2.7,0.0,42.9,36.6,67,32.7,6.1,0.0,41.4,36.5,76,34.4,3.5,0.0,39.4,33.7,61,27.1,2.7,0.0
2026-01-01 08:00:00,40.0,32.8,42,18.8,4.2,0.0,43.0,36.6,67,32.8,6.4,0.0,42.3,38.3,71,33.6,1.1,0.0,39.2,32.9,58,25.7,3.8,0.0
2026-01-01 09:00:00,40.5,34.6,56,26.0,2.9,27.0,42.9,36.4,66,32.3,6.5,21.0,43.8,40.1,75,36.4,1.6,46.0,41.2,35.8,61,28.8,2.6,25.0
2026-01-01 10:00:00,47.0,42.8,58,33.0,1.1,180.0,48.3,43.1,66,37.5,5.5,161.0,53.6,51.2,72,44.8,2.6,214.0,50.2,45.1,52,33.3,3.5,173.0
2026-01-01 11:00:00,56.1,50.6,45,35.0,5.0,367.0,55.1,49.3,53,38.3,7.3,342.0,61.9,58.6,56,46.1,5.4,386.0,59.6,53.1,45,38.2,8.9,361.0
2026-01-01 12:00:00,64.3,56.3,32,33.8,10.7,519.0,61.1,55.0,41,37.2,7.3,488.0,67.6,64.2,51,48.8,7.3,547.0,64.3,58.4,45,42.5,9.5,514.0
2026-01-01 13:00:00,69.3,59.8,24,30.9,14.4,617.0,65.4,59.2,32,34.8,7.2,569.0,69.8,68.2,55,52.9,7.7,635.0,67.7,62.4,40,42.5,9.6,616.0
2026-01-01 14:00:00,72.1,63.6,24,33.3,13.5,646.0,68.5,62.7,25,31.2,5.8,610.0,73.6,69.9,40,47.8,9.7,651.0,70.7,65.6,35,41.7,9.6,651.0
2026-01-01 15:00:00,72.9,64.5,26,36.0,13.6,607.0,70.5,63.8,26,34.0,8.2,570.0,74.3,70.8,42,49.7,9.2,601.0,72.8,67.8,32,41.2,8.4,618.0
2026-01-01 16:00:00,73.3,65.5,29,39.2,12.5,508.0,70.8,63.8,25,33.2,7.9,457.0,74.1,70.5,44,50.8,8.9,492.0,72.4,66.6,31,40.1,8.1,525.0
2026-01-01 17:00:00,72.3,64.5,31,39.9,12.6,349.0,68.6,61.7,29,35.1,8.6,213.0,72.6,69.1,47,51.3,9.4,296.0,72.1,66.3,30,38.9,7.5,369.0
2026-01-01 18:00:00,70.3,63.5,32,39.0,9.8,153.0,65.7,59.5,32,35.0,6.7,60.0,70.7,67.2,53,52.7,10.1,113.0,70.2,64.5,32,39.0,7.2,167.0
2026-01-01 19:00:00,67.3,61.0,35,38.7,8.6,0.0,63.9,57.8,32,33.4,5.7,0.0,68.6,66.4,59,53.7,7.8,0.0,66.0,60.7,32,35.3,4.7,0.0
2026-01-01 20:00:00,66.3,60.1,35,37.8,8.0,0.0,63.5,57.2,30,31.5,5.7,0.0,65.4,63.9,65,53.4,6.1,0.0,62.7,57.9,37,36.1,3.9,0.0
2026-01-01 21:00:00,64.7,60.5,42,41.1,4.8,0.0,62.3,57.1,35,34.3,4.3,0.0,64.4,63.0,70,54.4,6.5,0.0,61.3,56.2,37,34.8,4.1,0.0
2026-01-01 22:00:00,64.4,60.0,44,42.0,5.8,0.0,61.8,55.9,39,36.6,6.8,0.0,63.4,62.8,73,54.6,4.7,0.0,61.2,57.0,37,34.7,1.8,0.0
2026-01-01 23:00:00,64.8,60.6,43,41.8,5.1,0.0,61.1,55.2,43,38.4,7.4,0.0,64.0,64.1,79,57.4,5.4,0.0,60.2,54.3,36,33.1,5.4,0.0
2026-01-02 00:00:00,63.8,57.6,41,39.6,8.9,0.0,61.3,54.3,42,38.1,10.1,0.0,64.5,65.4,87,60.6,6.4,0.0,60.2,55.9,42,37.0,3.0,0.0
2026-01-02 01:00:00,62.8,57.5,41,38.8,6.3,0.0,61.1,55.0,47,40.7,9.0,0.0,64.2,64.7,84,59.2,6.1,0.0,58.9,54.0,39,34.0,3.3,0.0
2026-01-02 02:00:00,61.0,55.4,47,40.6,7.9,0.0,60.0,53.9,46,39.2,8.4,0.0,64.7,65.1,84,59.8,6.9,0.0,55.8,51.6,45,34.8,1.8,0.0
2026-01-02 03:00:00,60.7,54.1,41,36.9,8.5,0.0,59.0,52.7,47,38.8,8.6,0.0,65.6,66.3,88,62.0,8.3,0.0,55.9,51.4,46,35.4,2.9,0.0
2026-01-02 04:00:00,59.2,53.9,55,43.1,8.6,0.0,58.2,51.9,49,39.1,8.9,0.0,65.4,66.2,91,62.7,8.8,0.0,55.3,48.2,38,30.1,6.9,0.0
2026-01-02 05:00:00,59.5,53.3,50,40.8,9.2,0.0,56.6,50.5,49,37.6,7.6,0.0,66.1,66.5,88,62.4,9.3,0.0,53.9,48.5,50,35.7,5.2,0.0
2026-01-02 06:00:00,55.7,51.4,54,39.3,4.3,0.0,55.6,50.0,55,39.7,7.3,0.0,66.4,68.3,93,64.3,7.9,0.0,54.6,49.8,46,34.2,3.3,0.0
2026-01-02 07:00:00,53.4,48.2,57,38.5,5.8,0.0,55.1,49.6,57,40.2,7.5,0.0,65.8,67.3,91,63.1,7.4,0.0,56.7,50.2,36,30.0,5.6,0.0
2026-01-02 08:00:00,52.7,47.1,59,38.8,7.0,0.0,53.3,48.7,65,41.9,6.3,0.0,66.5,67.9,90,63.5,8.1,0.0,54.7,50.2,47,34.9,2.8,0.0
2026-01-02 09:00:00,54.6,49.1,55,38.8,6.9,26.0,53.3,49.4,66,42.3,4.7,20.0,66.0,66.8,91,63.3,9.3,39.0,55.5,51.2,43,33.4,1.6,24.0
2026-01-02 10:00:00,62.7,56.5,45,41.1,9.5,175.0,56.8,54.8,71,47.5,2.9,156.0,68.6,68.9,86,64.2,11.5,182.0,65.3,60.5,36,37.7,4.7,173.0
2026-01-02 11:00:00,70.8,65.5,38,44.0,9.0,362.0,63.3,59.6,52,45.4,6.1,336.0,72.8,72.2,71,62.9,12.4,376.0,70.7,65.4,32,39.4,6.7,364.0
2026-01-02 12:00:00,79.4,76.4,35,49.3,6.6,512.0,66.4,62.3,50,47.2,8.0,481.0,76.2,74.5,60,61.3,13.5,523.0,75.5,70.7,30,41.9,6.5,519.0
2026-01-02 13:00:00,83.4,80.4,31,49.6,8.3,611.0,69.6,64.2,38,42.9,9.2,575.0,79.9,77.5,47,57.9,13.2,614.0,81.2,76.8,28,45.0,9.0,624.0
2026-01-02 14:00:00,85.9,81.6,27,48.1,10.9,640.0,73.3,69.6,35,44.0,6.3,600.0,82.5,79.9,41,56.5,13.0,635.0,83.8,81.2,29,48.2,7.5,661.0
2026-01-02 15:00:00,87.2,81.4,26,48.2,13.8,612.0,74.9,69.7,30,41.4,8.0,572.0,83.9,81.1,39,56.3,12.4,594.0,86.4,82.3,26,47.5,9.8,624.0
2026-01-02 16:00:00,87.7,82.1,26,48.5,12.1,512.0,74.8,69.6,30,41.3,7.2,471.0,84.2,81.4,38,55.9,11.1,486.0,86.7,82.9,30,51.5,10.0,525.0
2026-01-02 17:00:00,87.7,81.3,24,46.5,13.0,358.0,74.8,70.2,28,39.5,4.8,320.0,84.2,81.4,38,55.8,10.9,328.0,86.9,81.9,26,47.9,10.7,378.0
2026-01-02 18:00:00,85.2,81.5,26,46.5,6.6,161.0,71.4,67.4,32,40.0,4.0,127.0,81.7,78.9,39,54.4,10.0,128.0,85.0,80.4,27,47.2,9.1,180.0
2026-01-02 19:00:00,78.7,75.6,31,45.6,4.6,0.0,67.9,62.7,28,33.6,3.8,0.0,76.2,73.8,46,53.9,8.6,0.0,80.0,75.8,25,41.0,4.8,0.0
2026-01-02 20:00:00,73.3,69.6,36,44.8,5.6,0.0,65.4,60.2,29,32.3,3.3,0.0,71.9,70.5,60,57.3,9.0,0.0,75.8,71.4,27,39.4,4.5,0.0
2026-01-02 21:00:00,72.1,67.2,35,42.9,7.4,0.0,61.9,58.3,43,39.1,2.5,0.0,69.8,68.7,66,58.0,8.9,0.0,70.0,67.3,38,43.2,2.5,0.0
2026-01-02 22:00:00,69.7,65.0,41,45.0,8.1,0.0,58.7,55.4,54,42.1,3.3,0.0,67.9,68.8,79,61.1,6.9,0.0,66.1,63.3,46,44.8,3.5,0.0
2026-01-02 23:00:00,67.1,63.8,45,45.1,4.8,0.0,59.6,56.4,49,40.4,2.1,0.0,66.2,67.8,85,61.6,6.0,0.0,63.5,59.9,46,42.4,4.2,0.0
2026-01-03 00:00:00,66.2,62.1,44,43.7,5.9,0.0,57.7,54.6,63,45.2,4.5,0.0,66.2,67.4,88,62.5,7.6,0.0,63.0,58.8,48,43.0,5.8,0.0
2026-01-03 01:00:00,66.4,61.8,39,40.7,5.6,0.0,57.0,54.8,60,43.3,1.2,0.0,67.3,68.7,89,64.0,8.6,0.0,58.9,55.3,44,37.1,1.5,0.0
2026-01-03 02:00:00,64.8,59.9,43,41.8,6.7,0.0,55.1,51.7,68,44.8,5.0,0.0,68.1,68.3,85,63.5,11.1,0.0,60.3,56.9,44,38.3,1.6,0.0
2026-01-03 03:00:00,64.6,59.9,42,41.0,5.9,0.0,52.9,49.2,77,45.9,6.2,0.0,67.2,68.4,86,62.9,8.1,0.0,62.5,58.3,41,38.4,3.5,0.0
2026-01-03 04:00:00,63.1,57.6,46,42.0,8.2,0.0,52.3,49.3,81,46.6,5.0,0.0,66.5,67.4,88,62.9,8.7,0.0,66.3,59.7,34,37.1,8.6,0.0
2026-01-03 05:00:00,63.8,58.7,43,40.9,6.7,0.0,52.1,48.3,82,46.7,6.9,0.0,66.5,67.6,88,62.9,8.3,0.0,67.8,59.8,28,33.5,10.4,0.0
2026-01-03 06:00:00,62.3,57.6,43,39.5,5.1,0.0,50.8,47.1,88,47.4,7.2,0.0,65.1,66.7,89,61.8,5.9,0.0,65.0,58.2,33,35.2,8.2,0.0
2026-01-03 07:00:00,60.5,55.6,42,37.3,4.6,0.0,50.6,46.7,86,46.6,7.2,0.0,64.6,66.2,89,61.3,5.6,0.0,63.1,56.6,36,35.7,7.6,0.0
2026-01-03 08:00:00,59.8,54.3,43,37.3,6.2,0.0,50.2,46.2,88,46.8,7.5,0.0,63.5,64.6,87,59.6,5.2,0.0,62.5,57.3,38,36.6,5.2,0.0
2026-01-03 09:00:00,59.5,55.3,43,37.0,2.7,28.0,48.1,43.6,85,43.8,6.9,18.0,62.7,64.0,88,59.1,4.2,46.0,60.8,55.7,41,37.0,5.1,26.0
2026-01-03 10:00:00,64.1,58.6,43,41.1,7.8,179.0,48.5,43.5,89,45.4,9.0,124.0,64.0,64.9,88,60.4,6.2,215.0,66.1,58.9,38,39.8,11.3,180.0
2026-01-03 11:00:00,67.7,61.8,44,45.0,10.7,364.0,51.2,46.1,78,44.6,8.7,308.0,70.3,68.6,58,54.8,7.5,399.0,69.9,63.4,35,41.0,10.3,371.0
2026-01-03 12:00:00,70.3,64.2,47,49.1,14.0,518.0,54.4,49.6,72,45.6,8.7,461.0,74.0,70.4,48,53.1,10.7,541.0,73.8,67.0,37,45.9,13.5,527.0
