station,time,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,shortwave_radiation,apparent_temperature
Houston,2021-01-01 00:00:00,44.8,86,40.9,13.4,0.0,37.0
Houston,2021-01-01 01:00:00,43.6,83,38.7,11.0,0.0,36.2
Houston,2021-01-01 02:00:00,42.4,85,38.2,11.3,0.0,34.9
Houston,2021-01-01 03:00:00,41.9,83,37.1,10.2,0.0,34.6
Houston,2021-01-01 04:00:00,40.7,82,35.6,10.5,0.0,33.0
Houston,2021-01-01 05:00:00,40.3,83,35.6,9.1,0.0,33.3
Houston,2021-01-01 06:00:00,40.1,83,35.3,7.8,0.0,33.5
Houston,2021-01-01 07:00:00,39.7,81,34.3,8.3,0.0,32.7
Houston,2021-01-01 08:00:00,39.5,82,34.5,6.5,0.0,33.4
Houston,2021-01-01 09:00:00,40.0,84,35.5,6.1,48.0,34.1
Houston,2021-01-01 10:00:00,42.2,80,36.5,8.3,222.0,35.6
Houston,2021-01-01 11:00:00,44.9,75,37.5,9.4,402.0,38.0
Houston,2021-01-01 12:00:00,47.3,69,37.7,9.1,533.0,40.6
Houston,2021-01-01 13:00:00,50.0,65,38.7,8.8,631.0,44.4
Houston,2021-01-01 14:00:00,51.8,63,39.6,8.2,604.0,46.4
Houston,2021-01-01 15:00:00,53.8,61,40.7,7.9,580.0,48.5
Houston,2021-01-01 16:00:00,53.5,63,41.2,7.9,449.0,48.0
Houston,2021-01-01 17:00:00,54.0,60,40.4,8.5,360.0,48.1
Houston,2021-01-01 18:00:00,52.5,58,38.1,9.5,103.0,45.7
Houston,2021-01-01 19:00:00,49.6,65,38.3,10.8,0.0,42.3
Houston,2021-01-01 20:00:00,47.3,69,37.6,9.6,0.0,40.3
Houston,2021-01-01 21:00:00,46.3,67,35.9,9.4,0.0,39.1
Houston,2021-01-01 22:00:00,44.7,69,35.2,8.2,0.0,38.0
Houston,2021-01-01 23:00:00,45.1,72,36.6,6.3,0.0,39.4
Houston,2021-01-02 00:00:00,43.3,73,35.2,3.5,0.0,38.5
Houston,2021-01-02 01:00:00,42.0,77,35.3,3.7,0.0,37.2
Houston,2021-01-02 02:00:00,41.3,78,35.0,3.5,0.0,36.5
Houston,2021-01-02 03:00:00,41.6,73,33.6,3.5,0.0,36.5
Houston,2021-01-02 04:00:00,41.0,77,34.3,3.7,0.0,35.9
Houston,2021-01-02 05:00:00,42.3,79,36.3,2.9,0.0,38.0
Houston,2021-01-02 06:00:00,41.9,82,36.8,4.6,0.0,36.9
Houston,2021-01-02 07:00:00,42.1,76,35.1,4.6,0.0,36.9
Houston,2021-01-02 08:00:00,41.5,75,34.2,4.7,0.0,36.0
Houston,2021-01-02 09:00:00,42.5,77,35.8,4.6,27.0,37.3
Houston,2021-01-02 10:00:00,44.2,75,36.8,8.6,95.0,37.5
Houston,2021-01-02 11:00:00,45.7,73,37.6,10.2,168.0,38.6
Houston,2021-01-02 12:00:00,49.9,64,38.2,10.0,534.0,42.9
Houston,2021-01-02 13:00:00,52.5,61,39.4,10.3,636.0,46.4
Houston,2021-01-02 14:00:00,54.7,58,40.2,10.2,667.0,49.2
Houston,2021-01-02 15:00:00,56.6,53,39.7,9.8,628.0,50.7
Houston,2021-01-02 16:00:00,57.8,47,37.7,9.7,518.0,50.9
Houston,2021-01-02 17:00:00,58.4,43,36.0,8.7,349.0,51.6
Houston,2021-01-02 18:00:00,57.7,36,30.9,6.8,141.0,50.8
Houston,2021-01-02 19:00:00,53.6,39,29.3,2.1,0.0,48.5
Houston,2021-01-02 20:00:00,49.5,57,34.9,2.2,0.0,45.2
Houston,2021-01-02 21:00:00,48.0,57,33.5,2.7,0.0,43.2
Houston,2021-01-02 22:00:00,45.6,66,34.9,3.4,0.0,40.8
Houston,2021-01-02 23:00:00,45.3,61,32.6,4.0,0.0,39.9
Houston,2021-01-03 00:00:00,44.1,72,35.7,2.5,0.0,39.8
Houston,2021-01-03 01:00:00,43.5,71,34.7,4.0,0.0,38.4
Houston,2021-01-03 02:00:00,42.8,72,34.4,4.1,0.0,37.7
Houston,2021-01-03 03:00:00,42.1,71,33.4,2.9,0.0,37.3
Houston,2021-01-03 04:00:00,41.3,74,33.7,3.7,0.0,36.2
Houston,2021-01-03 05:00:00,40.7,73,32.7,3.6,0.0,35.4
Houston,2021-01-03 06:00:00,40.3,74,32.7,3.4,0.0,35.2
Houston,2021-01-03 07:00:00,40.1,78,33.8,3.2,0.0,35.2
Houston,2021-01-03 08:00:00,39.3,84,34.9,4.3,0.0,34.2
Houston,2021-01-03 09:00:00,42.7,86,38.8,2.5,48.0,39.0
Houston,2021-01-03 10:00:00,53.1,72,44.3,6.7,221.0,48.8
Houston,2021-01-03 11:00:00,59.9,59,45.6,9.7,409.0,54.7
Houston,2021-01-03 12:00:00,64.3,43,41.3,11.1,559.0,57.5
Houston,2021-01-03 13:00:00,66.1,41,41.7,9.9,646.0,60.8
Houston,2021-01-03 14:00:00,67.8,41,43.2,8.1,666.0,63.8
Houston,2021-01-03 15:00:00,68.2,42,44.3,7.2,621.0,64.4
Houston,2021-01-03 16:00:00,68.2,39,42.3,8.8,512.0,62.6
Houston,2021-01-03 17:00:00,67.1,43,43.9,10.1,342.0,61.3
Houston,2021-01-03 18:00:00,65.1,48,44.9,10.6,135.0,59.3
Houston,2021-01-03 19:00:00,61.1,54,44.3,8.3,0.0,56.2
