station,time,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,shortwave_radiation,apparent_temperature
SanAntonio,2021-01-01 00:00:00,36.4,85,32.3,5.9,0.0,30.1
SanAntonio,2021-01-01 01:00:00,36.9,83,32.2,7.7,0.0,29.8
SanAntonio,2021-01-01 02:00:00,36.6,82,31.6,7.0,0.0,29.8
SanAntonio,2021-01-01 03:00:00,36.4,82,31.5,6.5,0.0,29.8
SanAntonio,2021-01-01 04:00:00,36.4,84,32.1,5.5,0.0,30.3
SanAntonio,2021-01-01 05:00:00,36.0,84,31.6,5.7,0.0,29.7
SanAntonio,2021-01-01 06:00:00,35.5,86,31.7,4.0,0.0,29.9
SanAntonio,2021-01-01 07:00:00,35.3,85,31.2,3.2,0.0,30.0
SanAntonio,2021-01-01 08:00:00,34.7,84,30.4,2.4,0.0,29.7
SanAntonio,2021-01-01 09:00:00,34.7,87,31.3,2.6,26.0,29.7
SanAntonio,2021-01-01 10:00:00,40.6,80,34.9,4.9,180.0,35.1
SanAntonio,2021-01-01 11:00:00,45.0,72,36.5,11.0,359.0,37.3
SanAntonio,2021-01-01 12:00:00,47.7,69,38.0,9.8,512.0,40.8
SanAntonio,2021-01-01 13:00:00,50.3,65,39.0,8.1,594.0,44.7
SanAntonio,2021-01-01 14:00:00,53.0,58,38.6,8.5,668.0,47.9
SanAntonio,2021-01-01 15:00:00,54.5,59,40.5,10.6,635.0,48.6
SanAntonio,2021-01-01 16:00:00,56.1,55,40.1,10.2,530.0,49.4
SanAntonio,2021-01-01 17:00:00,55.9,54,39.5,9.9,369.0,49.2
SanAntonio,2021-01-01 18:00:00,54.2,58,39.7,7.4,182.0,48.6
SanAntonio,2021-01-01 19:00:00,50.8,61,37.9,5.4,0.0,45.7
SanAntonio,2021-01-01 20:00:00,47.6,68,37.6,4.0,0.0,43.0
SanAntonio,2021-01-01 21:00:00,45.0,69,35.4,3.6,0.0,40.2
SanAntonio,2021-01-01 22:00:00,43.0,74,35.3,1.4,0.0,39.2
SanAntonio,2021-01-01 23:00:00,41.4,76,34.4,2.0,0.0,37.1
SanAntonio,2021-01-02 00:00:00,40.3,78,34.0,2.6,0.0,35.7
SanAntonio,2021-01-02 01:00:00,40.9,81,35.5,2.7,0.0,36.4
SanAntonio,2021-01-02 02:00:00,41.0,78,34.7,3.2,0.0,36.3
SanAntonio,2021-01-02 03:00:00,41.2,76,34.2,2.4,0.0,36.7
SanAntonio,2021-01-02 04:00:00,41.1,76,34.1,1.5,0.0,37.0
SanAntonio,2021-01-02 05:00:00,40.8,78,34.4,2.0,0.0,36.5
SanAntonio,2021-01-02 06:00:00,38.6,80,33.0,2.7,0.0,33.8
