epoch,lr-Adam,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
,0.001,0,,,,,,,,,,,
,0.001,19,,,,,,,,,,,
0,,19,,,,,,48830.4921875,,-19.668222427368164,,,
0,,32,,,,,,,,,3222447360.0,55837.36328125,-29.790855407714844
0,,32,,,,2563299584.0,49406.484375,,-20.014528274536133,,,,
,0.001,33,,,,,,,,,,,
,0.001,39,,,,,,,,,,,
1,,39,,,,,,49417.19140625,,-19.884624481201172,,,
,0.001,59,,,,,,,,,,,
1,,59,,,,,,49418.0546875,,-19.3549861907959,,,
1,,65,,,,,,,,,3206572288.0,55703.3203125,-29.639163970947266
1,,65,,,,2559097088.0,49366.73046875,,-19.96833610534668,,,,
,0.001,66,,,,,,,,,,,
,0.001,79,,,,,,,,,,,
2,,79,,,,,,48797.25390625,,-19.388120651245117,,,
2,,98,,,,,,,,,3066364160.0,54518.5,-28.299467086791992
2,,98,,,,2507525376.0,48882.58984375,,-19.53615951538086,,,,
,0.001,99,,,,,,,,,,,
,0.001,99,,,,,,,,,,,
3,,99,,,,,,47752.53125,,-18.68225860595703,,,
,0.001,119,,,,,,,,,,,
3,,119,,,,,,45455.93359375,,-17.252277374267578,,,
3,,131,,,,,,,,,2443548928.0,48853.80859375,-22.348390579223633
3,,131,,,,2207905024.0,45945.203125,,-17.085927963256836,,,,
,0.001,132,,,,,,,,,,,
,0.001,139,,,,,,,,,,,
4,,139,,,,,,39914.8515625,,-12.520513534545898,,,
,0.001,159,,,,,,,,,,,
4,,159,,,,,,inf,,-inf,,,
4,,164,,,,,,,,,1321829888.0,35620.515625,-11.630237579345703
4,,164,,,,inf,inf,,-inf,,,,
,0.001,165,,,,,,,,,,,
,0.001,179,,,,,,,,,,,
5,,179,,,,,,inf,,-inf,,,
5,,197,,,,,,,,,1233726336.0,34270.8046875,-10.788396835327148
5,,197,,,,inf,inf,,-inf,,,,
,0.001,198,,,,,,,,,,,
,0.001,199,,,,,,,,,,,
6,,199,,,,,,inf,,-inf,,,
,0.001,219,,,,,,,,,,,
6,,219,,,,,,inf,,-inf,,,
6,,230,,,,,,,,,1194268672.0,33641.1171875,-10.411375999450684
6,,230,,,,inf,inf,,-inf,,,,
,0.001,231,,,,,,,,,,,
,0.001,239,,,,,,,,,,,
7,,239,,,,,,inf,,-inf,,,
,0.001,259,,,,,,,,,,,
7,,259,,,,,,inf,,-inf,,,
7,,263,,,,,,,,,1158816384.0,33060.40625,-10.072623252868652
7,,263,,,,inf,inf,,-inf,,,,
,0.001,264,,,,,,,,,,,
,0.001,279,,,,,,,,,,,
8,,279,,,,,,inf,,-inf,,,
8,,296,,,,,,,,,1158816384.0,33060.40625,-10.072623252868652
8,,296,,,,inf,inf,,-inf,,,,
,0.001,297,,,,,,,,,,,
,0.001,299,,,,,,,,,,,
9,,299,,,,,,inf,,-inf,,,
,0.001,319,,,,,,,,,,,
9,,319,,,,,,inf,,-inf,,,
9,,329,,,,,,,,,1158816384.0,33060.40625,-10.072623252868652
9,,329,,,,inf,inf,,-inf,,,,
,0.001,330,,,,,,,,,,,
,0.001,339,,,,,,,,,,,
10,,339,,,,,,inf,,-inf,,,
,0.001,359,,,,,,,,,,,
10,,359,,,,,,inf,,-inf,,,
10,,362,,,,,,,,,1158816384.0,33060.40625,-10.072623252868652
10,,362,,,,inf,inf,,-inf,,,,
,0.001,363,,,,,,,,,,,
,0.001,379,,,,,,,,,,,
11,,379,,,,,,inf,,-inf,,,
11,,395,,,,,,,,,1158816384.0,33060.40625,-10.072623252868652
11,,395,,,,inf,inf,,-inf,,,,
