epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,49235.5546875,,-20.48996353149414,,,
0,32,,,,,,,,,3222647552.0,55839.109375,-29.792770385742188
0,32,,,,2563318016.0,49406.66796875,,-20.015745162963867,,,,
1,39,,,,,,49892.859375,,-18.32073402404785,,,
1,59,,,,,,49128.6796875,,-20.27680778503418,,,
1,65,,,,,,,,,3212030976.0,55750.0546875,-29.691329956054688
1,65,,,,2560509440.0,49380.26171875,,-19.98117446899414,,,,
2,79,,,,,,49396.10546875,,-19.791593551635742,,,
2,98,,,,,,,,,3118443008.0,54966.81640625,-28.797080993652344
2,98,,,,2525789440.0,49057.984375,,-19.703603744506836,,,,
3,99,,,,,,48325.6328125,,-19.38892936706543,,,
3,119,,,,,,46745.3828125,,-16.85171890258789,,,
3,131,,,,,,,,,2687605504.0,51182.15625,-24.680381774902344
3,131,,,,2321761536.0,47105.51953125,,-18.035085678100586,,,,
4,139,,,,,,42661.3671875,,-15.082891464233398,,,
4,159,,,,,,35539.0703125,,-9.450520515441895,,,
4,164,,,,,,,,,1589887104.0,39332.8828125,-14.19155502319336
4,164,,,,1656278656.0,39756.41015625,,-12.600068092346191,,,,
5,179,,,,,,28881.87109375,,-6.673490047454834,,,
5,197,,,,,,,,,1221938304.0,34024.22265625,-10.675759315490723
5,197,,,,inf,inf,,-inf,,,,
6,199,,,,,,inf,,-inf,,,
6,219,,,,,,inf,,-inf,,,
6,230,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
6,230,,,,inf,inf,,-inf,,,,
7,239,,,,,,inf,,-inf,,,
7,259,,,,,,inf,,-inf,,,
7,263,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
7,263,,,,inf,inf,,-inf,,,,
8,279,,,,,,inf,,-inf,,,
8,296,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
8,296,,,,inf,inf,,-inf,,,,
9,299,,,,,,inf,,-inf,,,
9,319,,,,,,inf,,-inf,,,
9,329,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
9,329,,,,inf,inf,,-inf,,,,
10,339,,,,,,inf,,-inf,,,
10,359,,,,,,inf,,-inf,,,
10,362,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
10,362,,,,inf,inf,,-inf,,,,
11,379,,,,,,inf,,-inf,,,
11,395,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
11,395,,,,inf,inf,,-inf,,,,
12,399,,,,,,inf,,-inf,,,
12,419,,,,,,inf,,-inf,,,
12,428,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
12,428,,,,inf,inf,,-inf,,,,
13,439,,,,,,inf,,-inf,,,
13,459,,,,,,inf,,-inf,,,
13,461,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
13,461,,,,inf,inf,,-inf,,,,
14,479,,,,,,inf,,-inf,,,
14,494,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
14,494,,,,inf,inf,,-inf,,,,
15,499,,,,,,inf,,-inf,,,
15,519,,,,,,inf,,-inf,,,
15,527,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
15,527,,,,inf,inf,,-inf,,,,
16,539,,,,,,inf,,-inf,,,
16,559,,,,,,inf,,-inf,,,
16,560,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
16,560,,,,inf,inf,,-inf,,,,
17,579,,,,,,inf,,-inf,,,
17,593,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
17,593,,,,inf,inf,,-inf,,,,
18,599,,,,,,inf,,-inf,,,
18,619,,,,,,inf,,-inf,,,
18,626,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
18,626,,,,inf,inf,,-inf,,,,
19,639,,,,,,inf,,-inf,,,
19,659,,,,,,inf,,-inf,,,
19,659,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
19,659,,,,inf,inf,,-inf,,,,
20,679,,,,,,inf,,-inf,,,
20,692,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
20,692,,,,inf,inf,,-inf,,,,
21,699,,,,,,inf,,-inf,,,
21,719,,,,,,inf,,-inf,,,
21,725,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
21,725,,,,inf,inf,,-inf,,,,
22,739,,,,,,inf,,-inf,,,
22,758,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
22,758,,,,inf,inf,,-inf,,,,
23,759,,,,,,inf,,-inf,,,
23,779,,,,,,inf,,-inf,,,
23,791,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
23,791,,,,inf,inf,,-inf,,,,
24,799,,,,,,inf,,-inf,,,
24,819,,,,,,inf,,-inf,,,
24,824,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
24,824,,,,inf,inf,,-inf,,,,
25,839,,,,,,inf,,-inf,,,
25,857,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
25,857,,,,inf,inf,,-inf,,,,
26,859,,,,,,inf,,-inf,,,
26,879,,,,,,inf,,-inf,,,
26,890,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
26,890,,,,inf,inf,,-inf,,,,
27,899,,,,,,inf,,-inf,,,
27,919,,,,,,inf,,-inf,,,
27,923,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
27,923,,,,inf,inf,,-inf,,,,
28,939,,,,,,inf,,-inf,,,
28,956,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
28,956,,,,inf,inf,,-inf,,,,
29,959,,,,,,inf,,-inf,,,
29,979,,,,,,inf,,-inf,,,
29,989,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
29,989,,,,inf,inf,,-inf,,,,
30,999,,,,,,inf,,-inf,,,
30,1019,,,,,,inf,,-inf,,,
30,1022,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
30,1022,,,,inf,inf,,-inf,,,,
31,1039,,,,,,inf,,-inf,,,
31,1055,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
31,1055,,,,inf,inf,,-inf,,,,
32,1059,,,,,,inf,,-inf,,,
32,1079,,,,,,inf,,-inf,,,
32,1088,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
32,1088,,,,inf,inf,,-inf,,,,
33,1099,,,,,,inf,,-inf,,,
33,1119,,,,,,inf,,-inf,,,
33,1121,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
33,1121,,,,inf,inf,,-inf,,,,
34,1139,,,,,,inf,,-inf,,,
34,1154,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
34,1154,,,,inf,inf,,-inf,,,,
35,1159,,,,,,inf,,-inf,,,
35,1179,,,,,,inf,,-inf,,,
35,1187,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
35,1187,,,,inf,inf,,-inf,,,,
36,1199,,,,,,inf,,-inf,,,
36,1219,,,,,,inf,,-inf,,,
36,1220,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
36,1220,,,,inf,inf,,-inf,,,,
37,1239,,,,,,inf,,-inf,,,
37,1253,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
37,1253,,,,inf,inf,,-inf,,,,
38,1259,,,,,,inf,,-inf,,,
38,1279,,,,,,inf,,-inf,,,
38,1286,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
38,1286,,,,inf,inf,,-inf,,,,
39,1299,,,,,,inf,,-inf,,,
39,1319,,,,,,inf,,-inf,,,
39,1319,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
39,1319,,,,inf,inf,,-inf,,,,
40,1339,,,,,,inf,,-inf,,,
40,1352,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
40,1352,,,,inf,inf,,-inf,,,,
41,1359,,,,,,inf,,-inf,,,
41,1379,,,,,,inf,,-inf,,,
41,1385,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
41,1385,,,,inf,inf,,-inf,,,,
42,1399,,,,,,inf,,-inf,,,
42,1418,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
42,1418,,,,inf,inf,,-inf,,,,
43,1419,,,,,,inf,,-inf,,,
43,1439,,,,,,inf,,-inf,,,
43,1451,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
43,1451,,,,inf,inf,,-inf,,,,
44,1459,,,,,,inf,,-inf,,,
44,1479,,,,,,inf,,-inf,,,
44,1484,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
44,1484,,,,inf,inf,,-inf,,,,
45,1499,,,,,,inf,,-inf,,,
45,1517,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
45,1517,,,,inf,inf,,-inf,,,,
46,1519,,,,,,inf,,-inf,,,
46,1539,,,,,,inf,,-inf,,,
46,1550,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
46,1550,,,,inf,inf,,-inf,,,,
47,1559,,,,,,inf,,-inf,,,
47,1579,,,,,,inf,,-inf,,,
47,1583,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
47,1583,,,,inf,inf,,-inf,,,,
48,1599,,,,,,inf,,-inf,,,
48,1616,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
48,1616,,,,inf,inf,,-inf,,,,
49,1619,,,,,,inf,,-inf,,,
49,1639,,,,,,inf,,-inf,,,
49,1649,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
49,1649,,,,inf,inf,,-inf,,,,
50,1659,,,,,,inf,,-inf,,,
50,1679,,,,,,inf,,-inf,,,
50,1682,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
50,1682,,,,inf,inf,,-inf,,,,
51,1699,,,,,,inf,,-inf,,,
51,1715,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
51,1715,,,,inf,inf,,-inf,,,,
52,1719,,,,,,inf,,-inf,,,
52,1739,,,,,,inf,,-inf,,,
52,1748,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
52,1748,,,,inf,inf,,-inf,,,,
53,1759,,,,,,inf,,-inf,,,
53,1779,,,,,,inf,,-inf,,,
53,1781,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
53,1781,,,,inf,inf,,-inf,,,,
54,1799,,,,,,inf,,-inf,,,
54,1814,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
54,1814,,,,inf,inf,,-inf,,,,
55,1819,,,,,,inf,,-inf,,,
55,1839,,,,,,inf,,-inf,,,
55,1847,,,,,,,,,1186536832.0,33447.46484375,-10.337495803833008
55,1847,,,,inf,inf,,-inf,,,,
