epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,50241.97265625,,-20.020339965820312,,,
0,39,,,,,,50727.6796875,,-19.989046096801758,,,
0,41,,,,,,,,,2668539648.0,51272.3515625,-66.04339599609375
0,41,,,,2694007296.0,50682.09765625,,-20.53645133972168,,,,
1,59,,,,,,50518.03125,,-21.98808479309082,,,
1,79,,,,,,50081.0625,,-21.215251922607422,,,
1,83,,,,,,,,,2639289856.0,50995.51953125,-65.30853271484375
1,83,,,,2677053184.0,50527.38671875,,-20.433095932006836,,,,
2,99,,,,,,49614.46484375,,-21.074689865112305,,,
2,119,,,,,,49660.51953125,,-20.826066970825195,,,
2,125,,,,,,,,,2552589056.0,50165.68359375,-63.13030242919922
2,125,,,,2607304704.0,49897.10546875,,-19.854581832885742,,,,
3,139,,,,,,48648.20703125,,-19.260133743286133,,,
3,159,,,,,,46988.703125,,-19.28816032409668,,,
3,167,,,,,,,,,2367568128.0,48336.46875,-58.481903076171875
3,167,,,,2433868032.0,48293.4296875,,-18.448406219482422,,,,
4,179,,,,,,46205.1875,,-15.785772323608398,,,
4,199,,,,,,43755.0390625,,-15.784074783325195,,,
4,209,,,,,,,,,2037396096.0,44829.41796875,-50.186790466308594
4,209,,,,2098304000.0,44980.9453125,,-15.79512882232666,,,,
5,219,,,,,,40941.359375,,-12.662214279174805,,,
5,239,,,,,,37657.9609375,,-10.357687950134277,,,
5,251,,,,,,,,,1542645632.0,38754.0,-37.75686264038086
5,251,,,,1579811840.0,39063.34375,,-11.642378807067871,,,,
6,259,,,,,,33354.80859375,,-8.899637222290039,,,
6,279,,,,,,27427.12890625,,-5.558798313140869,,,
6,293,,,,,,,,,964192128.0,29274.06640625,-23.224008560180664
6,293,,,,952758720.0,29470.130859375,,-6.626732349395752,,,,
7,299,,,,,,21463.103515625,,-3.5062456130981445,,,
7,319,,,,,,17888.3125,,-2.230196714401245,,,
7,335,,,,,,,,,528106368.0,20314.46875,-12.267950057983398
7,335,,,,463211360.0,18826.1015625,,-2.7037301063537598,,,,
8,339,,,,,,14581.4423828125,,-1.4017815589904785,,,
8,359,,,,,,11881.7548828125,,-0.727483868598938,,,
8,377,,,,,,,,,252990816.0,13930.2294921875,-5.356047630310059
8,377,,,,219221984.0,12271.521484375,,-0.7512012124061584,,,,
9,379,,,,,,9462.015625,,-0.029561281204223633,,,
9,399,,,,,,7250.2412109375,,0.37105506658554077,,,
9,419,,,,,,6659.81201171875,,-0.11858701705932617,,,
9,419,,,,,,,,,72868008.0,7407.75732421875,-0.8307087421417236
9,419,,,,91473720.0,7623.6279296875,,0.26822569966316223,,,,
10,439,,,,,,6085.2080078125,,0.5647329092025757,,,
10,459,,,,,,5697.31787109375,,0.5651957988739014,,,
10,461,,,,,,,,,56166768.0,6759.7666015625,-0.4111131429672241
10,461,,,,57152748.0,6010.86669921875,,0.5427332520484924,,,,
11,479,,,,,,5388.93896484375,,0.6284494996070862,,,
11,499,,,,,,5421.615234375,,0.6167913675308228,,,
11,503,,,,,,,,,58332404.0,7133.93603515625,-0.46552181243896484
11,503,,,,49807812.0,5590.32470703125,,0.6021904349327087,,,,
12,519,,,,,,5401.99365234375,,0.6365774869918823,,,
12,539,,,,,,5138.96630859375,,0.6523192524909973,,,
12,545,,,,,,,,,54257140.0,6930.9853515625,-0.3631361722946167
12,545,,,,47461364.0,5468.75732421875,,0.6204927563667297,,,,
13,559,,,,,,5377.5166015625,,0.6332920789718628,,,
13,579,,,,,,5293.13525390625,,0.6348017454147339,,,
13,587,,,,,,,,,53304860.0,6924.76171875,-0.3392115831375122
13,587,,,,45287852.0,5328.5419921875,,0.638218104839325,,,,
14,599,,,,,,5417.46533203125,,0.6072031259536743,,,
14,619,,,,,,5074.6826171875,,0.6544613838195801,,,
14,629,,,,,,,,,59873764.0,7411.44873046875,-0.5042462348937988
14,629,,,,44624992.0,5299.234375,,0.6430002450942993,,,,
15,639,,,,,,5195.26953125,,0.6729968786239624,,,
15,659,,,,,,5143.63330078125,,0.6520954966545105,,,
15,671,,,,,,,,,52834276.0,6950.1787109375,-0.3273888826370239
15,671,,,,43301772.0,5218.302734375,,0.6535404324531555,,,,
16,679,,,,,,5253.68701171875,,0.6547366380691528,,,
16,699,,,,,,4923.4716796875,,0.6727943420410156,,,
16,713,,,,,,,,,49237280.0,6697.79638671875,-0.23701918125152588
16,713,,,,42702908.0,5174.7470703125,,0.6583258509635925,,,,
17,719,,,,,,5147.3486328125,,0.6463812589645386,,,
17,739,,,,,,5108.884765625,,0.6923749446868896,,,
17,755,,,,,,,,,54029364.0,7061.97900390625,-0.35741376876831055
17,755,,,,42577880.0,5185.08935546875,,0.6592133641242981,,,,
18,759,,,,,,5293.6171875,,0.647695004940033,,,
18,779,,,,,,5007.0498046875,,0.662482738494873,,,
18,797,,,,,,,,,50943684.0,6852.56005859375,-0.27989041805267334
18,797,,,,42671860.0,5177.54931640625,,0.6590407490730286,,,,
19,799,,,,,,5175.9619140625,,0.6605318784713745,,,
