epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,50077.23828125,,-21.3253173828125,,,
0,39,,,,,,50370.5078125,,-18.85625648498535,,,
0,40,,,,,,,,,2669363968.0,51280.59765625,-66.07035064697266
0,40,,,,2697713408.0,50718.62890625,,-20.565874099731445,,,,
1,59,,,,,,50594.29296875,,-20.5130615234375,,,
1,79,,,,,,50520.953125,,-21.305099487304688,,,
1,81,,,,,,,,,2632390656.0,50928.91015625,-65.14136505126953
1,81,,,,2674343424.0,50506.8203125,,-20.374061584472656,,,,
2,99,,,,,,49602.9453125,,-20.825349807739258,,,
2,119,,,,,,48617.609375,,-19.550752639770508,,,
2,122,,,,,,,,,2522636032.0,49869.3984375,-62.383663177490234
2,122,,,,2581910016.0,49669.79296875,,-19.643253326416016,,,,
3,139,,,,,,48001.9921875,,-17.84883689880371,,,
3,159,,,,,,46580.09765625,,-15.887813568115234,,,
3,163,,,,,,,,,2289437184.0,47520.3671875,-56.52431869506836
3,163,,,,2354172160.0,47536.66015625,,-17.82357406616211,,,,
4,179,,,,,,44130.453125,,-16.268970489501953,,,
4,199,,,,,,41317.09375,,-12.788504600524902,,,
4,204,,,,,,,,,1892238464.0,43132.6171875,-46.54432678222656
4,204,,,,1935194496.0,43227.76171875,,-14.46505069732666,,,,
5,219,,,,,,37039.859375,,-9.735627174377441,,,
5,239,,,,,,31880.041015625,,-7.511351585388184,,,
5,245,,,,,,,,,1336165888.0,35735.77734375,-32.57246017456055
5,245,,,,1332559488.0,35623.3125,,-9.658135414123535,,,,
6,259,,,,,,26199.515625,,-5.286053657531738,,,
6,279,,,,,,20308.16796875,,-3.1094322204589844,,,
6,286,,,,,,,,,745351232.0,24340.3203125,-17.727670669555664
6,286,,,,716320960.0,24351.78125,,-4.7209248542785645,,,,
7,299,,,,,,17350.6015625,,-2.3096108436584473,,,
7,319,,,,,,14084.828125,,-1.060544490814209,,,
7,327,,,,,,,,,465252160.0,18680.201171875,-10.689909934997559
7,327,,,,351871264.0,16047.0322265625,,-1.8156590461730957,,,,
8,339,,,,,,11182.2939453125,,-0.4719212055206299,,,
8,359,,,,,,9125.431640625,,-0.08021664619445801,,,
8,368,,,,,,,,,211527440.0,12842.83203125,-4.314831733703613
8,368,,,,161991616.0,10253.244140625,,-0.29078832268714905,,,,
9,379,,,,,,7649.35888671875,,0.30497121810913086,,,
9,399,,,,,,6849.6669921875,,0.39679110050201416,,,
9,409,,,,,,,,,110443528.0,9383.7138671875,-1.7750003337860107
9,409,,,,79513136.0,7110.0771484375,,0.3637782633304596,,,,
10,419,,,,,,6077.68408203125,,0.5347088575363159,,,
10,439,,,,,,5930.52294921875,,0.5733768939971924,,,
10,450,,,,,,,,,70698504.0,7569.8310546875,-0.7763680219650269
10,450,,,,58426876.0,6085.8486328125,,0.5333045125007629,,,,
11,459,,,,,,5390.44677734375,,0.6505616307258606,,,
11,479,,,,,,5373.72900390625,,0.6401660442352295,,,
11,491,,,,,,,,,51861040.0,6568.9267578125,-0.3030587434768677
11,491,,,,47412880.0,5449.92529296875,,0.6210520267486572,,,,
12,499,,,,,,5246.8525390625,,0.654473066329956,,,
12,519,,,,,,5177.314453125,,0.6900953054428101,,,
12,532,,,,,,,,,34099164.0,5279.38037109375,0.14322549104690552
12,532,,,,41766708.0,5110.66650390625,,0.6661406755447388,,,,
13,539,,,,,,5007.80419921875,,0.6671066284179688,,,
13,559,,,,,,5022.822265625,,0.6852111220359802,,,
13,573,,,,,,,,,30143194.0,4996.6240234375,0.24262303113937378
13,573,,,,38233712.0,4892.6572265625,,0.6941893100738525,,,,
