epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,50779.55078125,,-18.717266082763672,,,
0,39,,,,,,50694.0078125,,-20.462055206298828,,,
0,40,,,,,,,,,2670557440.0,51292.02734375,-66.100341796875
0,40,,,,2698214656.0,50723.26953125,,-20.559762954711914,,,,
1,59,,,,,,50189.48828125,,-21.15593147277832,,,
1,79,,,,,,50451.7890625,,-19.826889038085938,,,
1,81,,,,,,,,,2639646976.0,50998.84375,-65.32367706298828
1,81,,,,2680053248.0,50559.046875,,-20.407556533813477,,,,
2,99,,,,,,49217.9921875,,-19.601472854614258,,,
2,119,,,,,,49548.7890625,,-19.752532958984375,,,
2,122,,,,,,,,,2545066752.0,50090.7421875,-62.947265625
2,122,,,,2605378048.0,49885.796875,,-19.811054229736328,,,,
3,139,,,,,,47950.765625,,-19.46236801147461,,,
3,159,,,,,,47236.05078125,,-17.63884925842285,,,
3,163,,,,,,,,,2338928128.0,48038.921875,-57.76782989501953
3,163,,,,2418876928.0,48155.125,,-18.329240798950195,,,,
4,179,,,,,,45522.53125,,-16.239660263061523,,,
4,199,,,,,,42733.875,,-15.226612091064453,,,
4,204,,,,,,,,,1975521280.0,44126.7734375,-48.63688278198242
4,204,,,,2062297472.0,44590.84375,,-15.477118492126465,,,,
5,219,,,,,,39300.28125,,-11.62281322479248,,,
5,239,,,,,,35564.6640625,,-9.634171485900879,,,
5,245,,,,,,,,,1442769408.0,37419.30078125,-35.2509765625
5,245,,,,1521010304.0,38218.90234375,,-11.163751602172852,,,,
6,259,,,,,,30093.392578125,,-6.327795505523682,,,
6,279,,,,,,23596.03125,,-4.414539813995361,,,
6,286,,,,,,,,,820920384.0,26650.583984375,-19.626419067382812
6,286,,,,893153152.0,27994.330078125,,-6.151230812072754,,,,
7,299,,,,,,19795.10546875,,-3.4147567749023438,,,
7,319,,,,,,16617.5234375,,-1.8482098579406738,,,
7,327,,,,,,,,,398251360.0,17356.51953125,-9.006449699401855
7,327,,,,445821760.0,18307.3671875,,-2.5592617988586426,,,,
8,339,,,,,,13528.2109375,,-0.9908648729324341,,,
8,359,,,,,,10547.62109375,,-0.3407531976699829,,,
8,368,,,,,,,,,164170608.0,10728.1435546875,-3.1249451637268066
8,368,,,,211775072.0,12054.7783203125,,-0.6887417435646057,,,,
9,379,,,,,,8062.1357421875,,0.14815092086791992,,,
9,399,,,,,,6821.14013671875,,0.4090672731399536,,,
9,409,,,,,,,,,34812628.0,4596.66015625,0.12529897689819336
9,409,,,,91641544.0,7628.31591796875,,0.26686564087867737,,,,
10,419,,,,,,5592.58056640625,,0.616030216217041,,,
10,439,,,,,,5347.0048828125,,0.6341562271118164,,,
10,450,,,,,,,,,15073422.0,3007.6083984375,0.6212657690048218
10,450,,,,51815784.0,5708.4658203125,,0.5860512256622314,,,,
11,459,,,,,,5226.16015625,,0.6375026106834412,,,
11,479,,,,,,5196.29248046875,,0.6609072685241699,,,
11,491,,,,,,,,,10246250.0,2504.520263671875,0.7425531148910522
11,491,,,,41776788.0,5098.166015625,,0.6661983132362366,,,,
12,499,,,,,,4830.37548828125,,0.6838077306747437,,,
12,519,,,,,,4788.0546875,,0.7071692943572998,,,
12,532,,,,,,,,,7343545.0,2087.46923828125,0.8154863119125366
12,532,,,,37678148.0,4832.49755859375,,0.6987114548683167,,,,
13,539,,,,,,4684.79443359375,,0.7187349796295166,,,
13,559,,,,,,4781.85107421875,,0.6881593465805054,,,
13,573,,,,,,,,,6124081.0,1904.7974853515625,0.8461265563964844
13,573,,,,35087648.0,4659.85302734375,,0.7194473147392273,,,,
14,579,,,,,,4449.2861328125,,0.7369465827941895,,,
14,599,,,,,,4402.306640625,,0.7713117599487305,,,
14,614,,,,,,,,,5352490.5,1778.3516845703125,0.8655135035514832
14,614,,,,33338396.0,4546.802734375,,0.7336542010307312,,,,
15,619,,,,,,4676.72802734375,,0.7247115969657898,,,
15,639,,,,,,4556.38525390625,,0.7455980777740479,,,
15,655,,,,,,,,,4645981.5,1649.9730224609375,0.8832652568817139
15,655,,,,32535064.0,4473.96142578125,,0.7402200698852539,,,,
16,659,,,,,,4323.36474609375,,0.748168408870697,,,
16,679,,,,,,4259.27734375,,0.7503933906555176,,,
16,696,,,,,,,,,4358137.0,1589.86279296875,0.8904975652694702
16,696,,,,31557684.0,4407.919921875,,0.7478704452514648,,,,
17,699,,,,,,4276.8564453125,,0.7545448541641235,,,
17,719,,,,,,4442.46728515625,,0.7721465826034546,,,
17,737,,,,,,,,,3895371.5,1499.6878662109375,0.9021250009536743
17,737,,,,31005244.0,4368.833984375,,0.752315878868103,,,,
18,739,,,,,,4459.53125,,0.7392361164093018,,,
18,759,,,,,,4351.8466796875,,0.7587003707885742,,,
18,778,,,,,,,,,3892195.0,1495.4949951171875,0.9022048115730286
18,778,,,,30352538.0,4323.8759765625,,0.7575874924659729,,,,
19,779,,,,,,4412.0390625,,0.7508184313774109,,,
19,799,,,,,,4291.23486328125,,0.7509447336196899,,,
19,819,,,,,,4228.0693359375,,0.7794231176376343,,,
19,819,,,,,,,,,3602556.25,1437.3826904296875,0.9094823002815247
19,819,,,,30164852.0,4299.89794921875,,0.7590027451515198,,,,
20,839,,,,,,4519.8251953125,,0.7364445924758911,,,
20,859,,,,,,4485.0791015625,,0.7544310092926025,,,
20,860,,,,,,,,,3472084.25,1431.72998046875,0.9127605557441711
20,860,,,,29962726.0,4298.7734375,,0.7605150938034058,,,,
21,879,,,,,,4345.056640625,,0.7561261653900146,,,
21,899,,,,,,4306.71484375,,0.7697780728340149,,,
21,901,,,,,,,,,3355170.25,1381.27001953125,0.9156981110572815
21,901,,,,29573530.0,4246.18798828125,,0.7637295722961426,,,,
22,919,,,,,,4261.74658203125,,0.7704999446868896,,,
22,939,,,,,,4123.6015625,,0.7879579067230225,,,
22,942,,,,,,,,,3384093.0,1407.0076904296875,0.9149714112281799
22,942,,,,29092170.0,4230.677734375,,0.767620861530304,,,,
23,959,,,,,,4261.55078125,,0.7533760070800781,,,
23,979,,,,,,4105.79833984375,,0.7753283977508545,,,
23,983,,,,,,,,,3389846.5,1384.8145751953125,0.9148268699645996
23,983,,,,29173350.0,4235.654296875,,0.7667761445045471,,,,
24,999,,,,,,4315.36572265625,,0.7758960723876953,,,
24,1019,,,,,,4156.3466796875,,0.7550023794174194,,,
24,1024,,,,,,,,,3491079.0,1426.3634033203125,0.9122832417488098
24,1024,,,,28486682.0,4177.93115234375,,0.7720320820808411,,,,
25,1039,,,,,,4106.00732421875,,0.7763269543647766,,,
25,1059,,,,,,4224.73193359375,,0.7570040822029114,,,
25,1065,,,,,,,,,3606091.25,1429.68896484375,0.9093934893608093
25,1065,,,,28490466.0,4178.90771484375,,0.7724370956420898,,,,
26,1079,,,,,,4327.90478515625,,0.7624180316925049,,,
26,1099,,,,,,4189.5673828125,,0.7863714694976807,,,
26,1106,,,,,,,,,3419933.75,1389.8194580078125,0.9140708446502686
26,1106,,,,28617200.0,4190.75732421875,,0.7713043093681335,,,,
27,1119,,,,,,4054.510498046875,,0.7867308855056763,,,
27,1139,,,,,,3997.599853515625,,0.776218056678772,,,
27,1147,,,,,,,,,3051226.25,1322.137939453125,0.9233349561691284
27,1147,,,,28225758.0,4167.04345703125,,0.7744660973548889,,,,
28,1159,,,,,,4073.089111328125,,0.7656353116035461,,,
28,1179,,,,,,3998.870361328125,,0.7892310619354248,,,
28,1188,,,,,,,,,3003771.5,1301.7275390625,0.9245273470878601
28,1188,,,,28209882.0,4159.318359375,,0.7747289538383484,,,,
29,1199,,,,,,4276.046875,,0.7656734585762024,,,
29,1219,,,,,,4196.78564453125,,0.781151533126831,,,
29,1229,,,,,,,,,3099655.0,1336.617919921875,0.9221181869506836
29,1229,,,,28325126.0,4172.251953125,,0.7733768224716187,,,,
30,1239,,,,,,4199.15478515625,,0.7615357637405396,,,
30,1259,,,,,,3952.0927734375,,0.7921344041824341,,,
