epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,50362.1171875,,-20.453218460083008,,,
0,39,,,,,,50754.5234375,,-21.538610458374023,,,
0,41,,,,,,,,,2667209216.0,51259.74609375,-66.00997161865234
0,41,,,,2693679104.0,50679.0859375,,-20.535036087036133,,,,
1,59,,,,,,50380.734375,,-20.022823333740234,,,
1,79,,,,,,50236.5703125,,-18.414348602294922,,,
1,83,,,,,,,,,2630437376.0,50911.7890625,-65.08613586425781
1,83,,,,2673391360.0,50495.1171875,,-20.373916625976562,,,,
2,99,,,,,,50160.515625,,-19.122135162353516,,,
2,119,,,,,,49146.95703125,,-20.198246002197266,,,
2,125,,,,,,,,,2520346624.0,49854.9375,-62.32025909423828
2,125,,,,2592438528.0,49761.82421875,,-19.71065330505371,,,,
3,139,,,,,,48248.234375,,-18.60739517211914,,,
3,159,,,,,,47064.5,,-16.330781936645508,,,
3,167,,,,,,,,,2282667264.0,47474.5625,-56.34888458251953
3,167,,,,2389273344.0,47868.24609375,,-18.094520568847656,,,,
4,179,,,,,,45337.75390625,,-14.718563079833984,,,
4,199,,,,,,42931.8984375,,-13.758914947509766,,,
4,209,,,,,,,,,1875362560.0,43002.765625,-46.11591720581055
4,209,,,,2009995776.0,44041.3046875,,-15.072476387023926,,,,
5,219,,,,,,39878.7890625,,-11.809065818786621,,,
5,239,,,,,,35537.7421875,,-9.821775436401367,,,
5,251,,,,,,,,,1305927168.0,35477.421875,-31.809627532958984
5,251,,,,1445786880.0,37281.171875,,-10.536532402038574,,,,
6,259,,,,,,30701.857421875,,-6.906545162200928,,,
6,279,,,,,,24610.552734375,,-4.678332328796387,,,
6,293,,,,,,,,,701695808.0,23924.9140625,-16.629146575927734
6,293,,,,812899520.0,26629.681640625,,-5.499350547790527,,,,
7,299,,,,,,19225.279296875,,-3.0020432472229004,,,
7,319,,,,,,16473.513671875,,-2.0395429134368896,,,
7,335,,,,,,,,,322452480.0,15953.8837890625,-7.1011762619018555
7,335,,,,387344096.0,17054.51953125,,-2.0929527282714844,,,,
8,339,,,,,,12931.447265625,,-0.8990612030029297,,,
8,359,,,,,,10448.45703125,,-0.3434950113296509,,,
8,377,,,,,,,,,78993416.0,7355.47705078125,-0.9846013784408569
8,377,,,,171731008.0,10756.5830078125,,-0.3744225800037384,,,,
9,379,,,,,,7910.6103515625,,0.18550527095794678,,,
9,399,,,,,,6237.744140625,,0.48447126150131226,,,
9,419,,,,,,1967.1884765625,,0.9568817019462585,,,
9,419,,,,,,,,,14671724.0,3074.899169921875,0.6313930153846741
9,419,,,,66257532.0,6440.9365234375,,0.4696537256240845,,,,
10,439,,,,,,5227.7255859375,,0.6492478847503662,,,
10,459,,,,,,4856.2255859375,,0.6834185719490051,,,
10,461,,,,,,,,,8639496.0,2348.468994140625,0.7829445004463196
10,461,,,,42932568.0,5187.1474609375,,0.6568658351898193,,,,
11,479,,,,,,4777.72314453125,,0.6955506205558777,,,
11,499,,,,,,4711.6357421875,,0.7106287479400635,,,
