epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,49422.69921875,,-19.348289489746094,,,
0,32,,,,,,,,,3220532736.0,55821.609375,-29.78154182434082
0,32,,,,2567338240.0,49446.03125,,-20.023481369018555,,,,
1,39,,,,,,48875.171875,,-21.379688262939453,,,
1,59,,,,,,48770.53125,,-22.224111557006836,,,
1,65,,,,,,,,,3202401024.0,55671.39453125,-29.60824203491211
1,65,,,,2559622656.0,49373.95703125,,-19.95506477355957,,,,
2,79,,,,,,49052.7578125,,-20.023590087890625,,,
2,98,,,,,,,,,3146026496.0,55206.984375,-29.069419860839844
2,98,,,,2529548544.0,49097.44140625,,-19.704097747802734,,,,
3,99,,,,,,48673.7421875,,-19.636795043945312,,,
3,119,,,,,,48423.51171875,,-19.607173919677734,,,
3,131,,,,,,,,,3020153856.0,54157.046875,-27.86634063720703
3,131,,,,2452643328.0,48388.17578125,,-19.07954216003418,,,,
4,139,,,,,,47200.3828125,,-19.22750473022461,,,
4,159,,,,,,46675.0703125,,-17.181350708007812,,,
4,164,,,,,,,,,2792794368.0,52193.3671875,-25.693260192871094
4,164,,,,2301143040.0,46955.296875,,-17.84327507019043,,,,
5,179,,,,,,44026.3671875,,-17.06654930114746,,,
5,197,,,,,,,,,2438237696.0,48917.453125,-22.304443359375
5,197,,,,2049017856.0,44430.3125,,-15.787914276123047,,,,
6,199,,,,,,42761.52734375,,-14.492674827575684,,,
6,219,,,,,,39876.015625,,-10.967915534973145,,,
6,230,,,,,,,,,1949805440.0,43829.9765625,-17.63605308532715
6,230,,,,1686499968.0,40397.05078125,,-12.823775291442871,,,,
7,239,,,,,,36065.15625,,-10.131974220275879,,,
7,259,,,,,,31381.158203125,,-7.6832170486450195,,,
7,263,,,,,,,,,1368213760.0,36354.69921875,-12.07725715637207
7,263,,,,1232787712.0,34308.3984375,,-9.100128173828125,,,,
8,279,,,,,,25750.783203125,,-5.265328407287598,,,
8,296,,,,,,,,,811719616.0,26011.0390625,-6.758338451385498
8,296,,,,769533952.0,25749.099609375,,-5.321672439575195,,,,
9,299,,,,,,20816.927734375,,-3.198521614074707,,,
9,319,,,,,,17330.060546875,,-2.262314796447754,,,
9,329,,,,,,,,,429836448.0,18133.90625,-3.108335494995117
9,329,,,,443976864.0,18327.71484375,,-2.6313068866729736,,,,
10,339,,,,,,14615.677734375,,-1.2327961921691895,,,
10,359,,,,,,12040.75390625,,-0.5837177038192749,,,
10,362,,,,,,,,,273153440.0,14304.9375,-1.610774278640747
10,362,,,,254555616.0,13526.1650390625,,-1.0842581987380981,,,,
11,379,,,,,,9650.8603515625,,-0.1407020092010498,,,
11,395,,,,,,,,,173011376.0,11441.1650390625,-0.6536259651184082
11,395,,,,141287568.0,9626.228515625,,-0.15431131422519684,,,,
