epoch,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
0,19,,,,,,49167.31640625,,-20.738723754882812,,,
0,32,,,,,,,,,3219323392.0,55810.6328125,-29.761003494262695
0,32,,,,2562617088.0,49399.92578125,,-20.002099990844727,,,,
1,39,,,,,,49584.515625,,-19.22174644470215,,,
1,59,,,,,,49530.59375,,-20.12407112121582,,,
1,65,,,,,,,,,3193260544.0,55591.9921875,-29.511972427368164
1,65,,,,2552481536.0,49304.8515625,,-19.931884765625,,,,
2,79,,,,,,48652.09375,,-20.258798599243164,,,
2,98,,,,,,,,,3114256896.0,54931.03125,-28.7570858001709
2,98,,,,2512193024.0,48931.56640625,,-19.60002326965332,,,,
3,99,,,,,,48304.96484375,,-20.539777755737305,,,
3,119,,,,,,48028.2421875,,-18.17868995666504,,,
3,131,,,,,,,,,2946016000.0,53498.53515625,-27.14952278137207
3,131,,,,2413921280.0,48014.046875,,-18.79681396484375,,,,
4,139,,,,,,47156.09765625,,-15.748758316040039,,,
4,159,,,,,,45183.7734375,,-17.555150985717773,,,
4,164,,,,,,,,,2650634496.0,50868.76953125,-24.327116012573242
4,164,,,,2228070400.0,46218.62890625,,-17.259464263916016,,,,
5,179,,,,,,43183.64453125,,-15.186960220336914,,,
5,197,,,,,,,,,2202551808.0,46520.50390625,-20.045637130737305
5,197,,,,1927457920.0,43106.03515625,,-14.810816764831543,,,,
6,199,,,,,,40887.9296875,,-13.8709077835083,,,
6,219,,,,,,37161.703125,,-11.332438468933105,,,
6,230,,,,,,,,,1607934976.0,39775.5390625,-14.364006042480469
6,230,,,,1509984896.0,38187.27734375,,-11.37685775756836,,,,
7,239,,,,,,32636.458984375,,-8.35299015045166,,,
7,259,,,,,,27567.53515625,,-5.8470916748046875,,,
7,263,,,,,,,,,950351168.0,29844.69921875,-8.080716133117676
7,263,,,,1009764544.0,30757.3203125,,-7.289301872253418,,,,
8,279,,,,,,20751.1171875,,-3.311007022857666,,,
8,296,,,,,,,,,422833472.0,17937.69140625,-3.040222644805908
8,296,,,,559898688.0,21273.3046875,,-3.599057912826538,,,,
9,299,,,,,,17157.96875,,-2.1738121509552,,,
9,319,,,,,,13977.8876953125,,-1.0306079387664795,,,
9,329,,,,,,,,,169580496.0,11112.3154296875,-0.620361328125
9,329,,,,301638848.0,15017.89453125,,-1.4667733907699585,,,,
10,339,,,,,,11172.5244140625,,-0.4855787754058838,,,
10,359,,,,,,7709.5546875,,0.28790998458862305,,,
10,362,,,,,,,,,54594676.0,5936.41162109375,0.47834157943725586
10,362,,,,148984656.0,9995.31640625,,-0.2210140973329544,,,,
11,379,,,,,,6278.8017578125,,0.4491967558860779,,,
11,395,,,,,,,,,18908312.0,3509.7578125,0.8193289041519165
11,395,,,,65843976.0,6446.0673828125,,0.46061959862709045,,,,
12,399,,,,,,5517.66796875,,0.5672000646591187,,,
12,419,,,,,,5059.73046875,,0.6689030528068542,,,
12,428,,,,,,,,,13841728.0,2994.51806640625,0.8677406907081604
12,428,,,,44447060.0,5293.6728515625,,0.6352468132972717,,,,
13,439,,,,,,5089.66796875,,0.6451352834701538,,,
13,459,,,,,,4862.93359375,,0.6939650774002075,,,
13,461,,,,,,,,,10171817.0,2554.3095703125,0.9028071165084839
13,461,,,,38588820.0,4915.53271484375,,0.683931291103363,,,,
14,479,,,,,,4516.90673828125,,0.7286641597747803,,,
14,494,,,,,,,,,8059865.0,2229.261474609375,0.9229870438575745
14,494,,,,34790124.0,4641.7822265625,,0.7146150469779968,,,,
15,499,,,,,,4501.95556640625,,0.7178958654403687,,,
15,519,,,,,,4500.72265625,,0.7222700119018555,,,
15,527,,,,,,,,,7982032.5,2213.082763671875,0.923730731010437
15,527,,,,32449818.0,4474.6953125,,0.7336203455924988,,,,
16,539,,,,,,4411.0234375,,0.7526673674583435,,,
